C:\Users\Ranit\Anaconda3\python.exe E:/StudyFIle/MLProject/CharSCNN-theano-1/charscnn.py
C:\Users\Ranit\Anaconda3\lib\site-packages\sklearn\cross_validation.py:44: DeprecationWarning: This module was deprecated in version 0.18 in favor of the model_selection module into which all the refactored classes and functions are moved. Also note that the interface of the new CV iterators are different from that of this module. This module will be removed in 0.20.
  "This module will be removed in 0.20.", DeprecationWarning)
counter#0  epoch: 1, test mean loss=0.6936819559286656, test accuracy=0.5035000000000003

counter#1  epoch: 1, test mean loss=0.693379106046847, test accuracy=0.49649999999999983

counter#2  epoch: 1, test mean loss=0.6932923707729347, test accuracy=0.49649999999999983

counter#3  epoch: 1, test mean loss=0.693377814535901, test accuracy=0.49649999999999983

counter#4  epoch: 1, test mean loss=0.693362821531402, test accuracy=0.49699999999999983

counter#5  epoch: 1, test mean loss=0.6951291570145262, test accuracy=0.49649999999999983

counter#6  epoch: 1, test mean loss=0.6998218958648912, test accuracy=0.49649999999999983

counter#7  epoch: 1, test mean loss=0.7035250968458999, test accuracy=0.49649999999999983

counter#8  epoch: 1, test mean loss=0.699372833252211, test accuracy=0.49649999999999983

counter#9  epoch: 1, test mean loss=0.696733694609301, test accuracy=0.49649999999999983

counter#10  epoch: 1, test mean loss=0.6944587638653591, test accuracy=0.49649999999999983

counter#11  epoch: 1, test mean loss=0.695905001106349, test accuracy=0.49649999999999983

counter#12  epoch: 1, test mean loss=0.6951496687700858, test accuracy=0.49649999999999983

counter#13  epoch: 1, test mean loss=0.6938832550926989, test accuracy=0.49649999999999983

counter#14  epoch: 1, test mean loss=0.6937476848719695, test accuracy=0.49649999999999983

counter#15  epoch: 1, test mean loss=0.6935069522065358, test accuracy=0.49649999999999983

counter#16  epoch: 1, test mean loss=0.6933532164021641, test accuracy=0.49649999999999983

counter#17  epoch: 1, test mean loss=0.6936951661857133, test accuracy=0.49649999999999983

counter#18  epoch: 1, test mean loss=0.6933963665858736, test accuracy=0.49649999999999983

counter#19  epoch: 1, test mean loss=0.6933906517433411, test accuracy=0.49649999999999983

counter#20  epoch: 1, test mean loss=0.6932368961289122, test accuracy=0.5035000000000003

counter#21  epoch: 1, test mean loss=0.69341782206773, test accuracy=0.5035000000000003

counter#22  epoch: 1, test mean loss=0.6931309797020931, test accuracy=0.4999999999999998

counter#23  epoch: 1, test mean loss=0.693135279436611, test accuracy=0.5069999999999997

counter#24  epoch: 1, test mean loss=0.6935491233147993, test accuracy=0.5035000000000003

counter#25  epoch: 1, test mean loss=0.6943614764603339, test accuracy=0.5035000000000003

counter#26  epoch: 1, test mean loss=0.6946971540389909, test accuracy=0.5035000000000003

counter#27  epoch: 1, test mean loss=0.6975806408534999, test accuracy=0.5035000000000003

counter#28  epoch: 1, test mean loss=0.6948017809824029, test accuracy=0.5035000000000003

counter#29  epoch: 1, test mean loss=0.6954475624800169, test accuracy=0.5035000000000003

counter#30  epoch: 1, test mean loss=0.6946549675456061, test accuracy=0.5035000000000003

counter#31  epoch: 1, test mean loss=0.6940404507162361, test accuracy=0.5035000000000003

counter#32  epoch: 1, test mean loss=0.6933975690715286, test accuracy=0.5035000000000003

counter#33  epoch: 1, test mean loss=0.6928889308617637, test accuracy=0.5274999999999999

counter#34  epoch: 1, test mean loss=0.6930124053368775, test accuracy=0.5035000000000003

counter#35  epoch: 1, test mean loss=0.6928613072222476, test accuracy=0.5035000000000003

counter#36  epoch: 1, test mean loss=0.6929721168809195, test accuracy=0.5035000000000003

counter#37  epoch: 1, test mean loss=0.692792594366998, test accuracy=0.5035000000000003

counter#38  epoch: 1, test mean loss=0.6931691821793443, test accuracy=0.5035000000000003

counter#39  epoch: 1, test mean loss=0.6922601143839496, test accuracy=0.5035000000000003

counter#40  epoch: 1, test mean loss=0.6922156756768555, test accuracy=0.5479999999999998

counter#41  epoch: 1, test mean loss=0.6920334481876478, test accuracy=0.5035000000000003

counter#42  epoch: 1, test mean loss=0.6918816296339046, test accuracy=0.5040000000000002

counter#43  epoch: 1, test mean loss=0.6918365486433664, test accuracy=0.6085

counter#44  epoch: 1, test mean loss=0.6915089396298183, test accuracy=0.5974999999999998

counter#45  epoch: 1, test mean loss=0.6915206221457343, test accuracy=0.5954999999999999

counter#46  epoch: 1, test mean loss=0.6915278159449414, test accuracy=0.6034999999999999

counter#47  epoch: 1, test mean loss=0.6917394072609899, test accuracy=0.524

counter#48  epoch: 1, test mean loss=0.6915744523990416, test accuracy=0.49999999999999983

counter#49  epoch: 1, test mean loss=0.6912310202450714, test accuracy=0.5155000000000001

counter#50  epoch: 1, test mean loss=0.6909953086759089, test accuracy=0.5854999999999998

counter#51  epoch: 1, test mean loss=0.6910079333248765, test accuracy=0.5840000000000003

counter#52  epoch: 1, test mean loss=0.690637585353458, test accuracy=0.5800000000000003

counter#53  epoch: 1, test mean loss=0.6902919478979922, test accuracy=0.6119999999999998

counter#54  epoch: 1, test mean loss=0.6896899071592286, test accuracy=0.5859999999999999

counter#55  epoch: 1, test mean loss=0.6895962490498936, test accuracy=0.5919999999999999

counter#56  epoch: 1, test mean loss=0.6892031011075079, test accuracy=0.6064999999999999

counter#57  epoch: 1, test mean loss=0.6894984390174079, test accuracy=0.5879999999999999

counter#58  epoch: 1, test mean loss=0.6896135355826967, test accuracy=0.5035000000000003

counter#59  epoch: 1, test mean loss=0.6895936005427469, test accuracy=0.5035000000000003

counter#60  epoch: 1, test mean loss=0.6896880026399171, test accuracy=0.5035000000000003

counter#61  epoch: 1, test mean loss=0.6899933221865449, test accuracy=0.5035000000000003

counter#62  epoch: 1, test mean loss=0.6908817588947472, test accuracy=0.5035000000000003

counter#63  epoch: 1, test mean loss=0.691607863140421, test accuracy=0.5035000000000003

counter#64  epoch: 1, test mean loss=0.6909188901130632, test accuracy=0.5035000000000003

counter#65  epoch: 1, test mean loss=0.6926871312642846, test accuracy=0.5035000000000003

counter#66  epoch: 1, test mean loss=0.6931202612721808, test accuracy=0.5035000000000003

