C:\Users\Ranit\Anaconda3\python.exe E:/StudyFIle/MLProject/CharSCNN-theano-1/scnn.py
C:\Users\Ranit\Anaconda3\lib\site-packages\sklearn\cross_validation.py:44: DeprecationWarning: This module was deprecated in version 0.18 in favor of the model_selection module into which all the refactored classes and functions are moved. Also note that the interface of the new CV iterators are different from that of this module. This module will be removed in 0.20.
  "This module will be removed in 0.20.", DeprecationWarning)
counter#0 epoch: 1, test mean loss=0.693703579390447, test accuracy=0.49650000000000005

counter#1 epoch: 1, test mean loss=0.6931413414964964, test accuracy=0.497

counter#2 epoch: 1, test mean loss=0.6938324677467606, test accuracy=0.5035

counter#3 epoch: 1, test mean loss=0.6931169917220477, test accuracy=0.5035

counter#4 epoch: 1, test mean loss=0.6933130552855259, test accuracy=0.49650000000000005

counter#5 epoch: 1, test mean loss=0.6932775254029159, test accuracy=0.5035

counter#6 epoch: 1, test mean loss=0.69564791812809, test accuracy=0.5035

counter#7 epoch: 1, test mean loss=0.7027806756765039, test accuracy=0.5035

counter#8 epoch: 1, test mean loss=0.6963609390112777, test accuracy=0.5035

counter#9 epoch: 1, test mean loss=0.7010997650794754, test accuracy=0.5035

counter#10 epoch: 1, test mean loss=0.696314829527209, test accuracy=0.5035

counter#11 epoch: 1, test mean loss=0.693107069989149, test accuracy=0.5035

counter#12 epoch: 1, test mean loss=0.6931268039878697, test accuracy=0.49650000000000005

counter#13 epoch: 1, test mean loss=0.6932568170036209, test accuracy=0.5035

counter#14 epoch: 1, test mean loss=0.6931634782136633, test accuracy=0.5035

counter#15 epoch: 1, test mean loss=0.6934031470070093, test accuracy=0.49650000000000005

counter#16 epoch: 1, test mean loss=0.6960500956195703, test accuracy=0.49650000000000005

counter#17 epoch: 1, test mean loss=0.6961437971875931, test accuracy=0.49650000000000005

counter#18 epoch: 1, test mean loss=0.694094860136088, test accuracy=0.49650000000000005

counter#19 epoch: 1, test mean loss=0.6935727743947463, test accuracy=0.49650000000000005

counter#20 epoch: 1, test mean loss=0.6932782551265869, test accuracy=0.49650000000000005

counter#21 epoch: 1, test mean loss=0.693517501240039, test accuracy=0.49650000000000005

counter#22 epoch: 1, test mean loss=0.6934982484661176, test accuracy=0.49650000000000005

counter#23 epoch: 1, test mean loss=0.693328086141881, test accuracy=0.49650000000000005

counter#24 epoch: 1, test mean loss=0.6934534472734407, test accuracy=0.49650000000000005

counter#25 epoch: 1, test mean loss=0.6933927171484456, test accuracy=0.49650000000000005

counter#26 epoch: 1, test mean loss=0.6931386986091967, test accuracy=0.49650000000000005

counter#27 epoch: 1, test mean loss=0.693476804618014, test accuracy=0.49650000000000005

counter#28 epoch: 1, test mean loss=0.693638955694347, test accuracy=0.49650000000000005

counter#29 epoch: 1, test mean loss=0.6931502826566186, test accuracy=0.49650000000000005

counter#30 epoch: 1, test mean loss=0.6930808225881172, test accuracy=0.49650000000000005

counter#31 epoch: 1, test mean loss=0.6933585935509124, test accuracy=0.49650000000000005

counter#32 epoch: 1, test mean loss=0.6931628871426048, test accuracy=0.49650000000000005

counter#33 epoch: 1, test mean loss=0.6932578988582953, test accuracy=0.49650000000000005

counter#34 epoch: 1, test mean loss=0.6932178047924629, test accuracy=0.49650000000000005

counter#35 epoch: 1, test mean loss=0.6930144486949441, test accuracy=0.49650000000000005

counter#36 epoch: 1, test mean loss=0.6929832991514736, test accuracy=0.5035

counter#37 epoch: 1, test mean loss=0.6929887540502392, test accuracy=0.49650000000000005

counter#38 epoch: 1, test mean loss=0.6929825288704766, test accuracy=0.49650000000000005

counter#39 epoch: 1, test mean loss=0.6929315075718169, test accuracy=0.5035

counter#40 epoch: 1, test mean loss=0.6930128007140776, test accuracy=0.5035

counter#41 epoch: 1, test mean loss=0.6929444533344042, test accuracy=0.5035

counter#42 epoch: 1, test mean loss=0.693063235572146, test accuracy=0.5035

counter#43 epoch: 1, test mean loss=0.6934165220328274, test accuracy=0.5035

counter#44 epoch: 1, test mean loss=0.6949721779901311, test accuracy=0.5035

counter#45 epoch: 1, test mean loss=0.6937598379533774, test accuracy=0.5035

counter#46 epoch: 1, test mean loss=0.692696733033543, test accuracy=0.5035

counter#47 epoch: 1, test mean loss=0.6925821892966085, test accuracy=0.593

counter#48 epoch: 1, test mean loss=0.6925336499283129, test accuracy=0.5479999999999999

counter#49 epoch: 1, test mean loss=0.6925460254014644, test accuracy=0.515

counter#50 epoch: 1, test mean loss=0.6924308970630451, test accuracy=0.5065000000000001

counter#51 epoch: 1, test mean loss=0.6924497935392739, test accuracy=0.5035

counter#52 epoch: 1, test mean loss=0.6923715097912565, test accuracy=0.49650000000000005

counter#53 epoch: 1, test mean loss=0.6923228601927329, test accuracy=0.49650000000000005

counter#54 epoch: 1, test mean loss=0.6922826256091131, test accuracy=0.49650000000000005

counter#55 epoch: 1, test mean loss=0.6919123358351258, test accuracy=0.5155000000000001

counter#56 epoch: 1, test mean loss=0.6917537827368696, test accuracy=0.49650000000000005

counter#57 epoch: 1, test mean loss=0.6913052464172811, test accuracy=0.6299999999999999

counter#58 epoch: 1, test mean loss=0.6914206405257959, test accuracy=0.5035

counter#59 epoch: 1, test mean loss=0.6908063271377547, test accuracy=0.504

counter#60 epoch: 1, test mean loss=0.6905688377228781, test accuracy=0.5045

counter#61 epoch: 1, test mean loss=0.6898918180166395, test accuracy=0.5625

counter#62 epoch: 1, test mean loss=0.6896735749073015, test accuracy=0.5045

counter#63 epoch: 1, test mean loss=0.6889179739643221, test accuracy=0.5585

counter#64 epoch: 1, test mean loss=0.6878077762005341, test accuracy=0.645

counter#65 epoch: 1, test mean loss=0.6863129621735479, test accuracy=0.6399999999999999

counter#66 epoch: 1, test mean loss=0.686761962039749, test accuracy=0.504

counter#67 epoch: 1, test mean loss=0.6841802719589961, test accuracy=0.5105

counter#68 epoch: 1, test mean loss=0.6810148150739811, test accuracy=0.6364999999999998

counter#69 epoch: 1, test mean loss=0.6753815494295636, test accuracy=0.6495

counter#70 epoch: 1, test mean loss=0.670115092366922, test accuracy=0.6649999999999999

counter#71 epoch: 1, test mean loss=0.6677324573202926, test accuracy=0.6265000000000002

counter#72 epoch: 1, test mean loss=0.6633105832126407, test accuracy=0.6525000000000001

counter#73 epoch: 1, test mean loss=0.6567064398312419, test accuracy=0.677

counter#74 epoch: 1, test mean loss=0.6483802468304831, test accuracy=0.6970000000000002

counter#75 epoch: 1, test mean loss=0.6348495977845836, test accuracy=0.6965000000000001

counter#76 epoch: 1, test mean loss=0.6206840209367516, test accuracy=0.6960000000000001

counter#77 epoch: 1, test mean loss=0.608045882081852, test accuracy=0.6910000000000001

counter#78 epoch: 1, test mean loss=0.6005340824424473, test accuracy=0.6825

counter#79 epoch: 1, test mean loss=0.5958046248885739, test accuracy=0.694

counter#80 epoch: 1, test mean loss=0.5833805835525416, test accuracy=0.6995000000000001

counter#81 epoch: 1, test mean loss=0.5783863926799367, test accuracy=0.6905000000000001

counter#82 epoch: 1, test mean loss=0.5667321688854154, test accuracy=0.7064999999999999

counter#83 epoch: 1, test mean loss=0.5557449601676822, test accuracy=0.72

counter#84 epoch: 1, test mean loss=0.5523608333909484, test accuracy=0.713

counter#85 epoch: 1, test mean loss=0.5465178340115507, test accuracy=0.7245

counter#86 epoch: 1, test mean loss=0.5436278736611228, test accuracy=0.731

counter#87 epoch: 1, test mean loss=0.5420700572408672, test accuracy=0.7254999999999999

counter#88 epoch: 1, test mean loss=0.5434403804002648, test accuracy=0.735

counter#89 epoch: 1, test mean loss=0.537794408394767, test accuracy=0.7269999999999999

counter#90 epoch: 1, test mean loss=0.5462312309638314, test accuracy=0.7169999999999999

counter#91 epoch: 1, test mean loss=0.5448845357343474, test accuracy=0.7180000000000001

counter#92 epoch: 1, test mean loss=0.5450002122696203, test accuracy=0.7095

counter#93 epoch: 1, test mean loss=0.5449672920262036, test accuracy=0.709

counter#94 epoch: 1, test mean loss=0.533929456574227, test accuracy=0.7329999999999999

counter#95 epoch: 1, test mean loss=0.5316727022129057, test accuracy=0.728

counter#96 epoch: 1, test mean loss=0.5277680539648654, test accuracy=0.7314999999999999

counter#97 epoch: 1, test mean loss=0.5320557777256563, test accuracy=0.722

counter#98 epoch: 1, test mean loss=0.5273079338090608, test accuracy=0.7304999999999999

counter#99 epoch: 1, test mean loss=0.5235420587048734, test accuracy=0.7394999999999998

counter#100 epoch: 1, test mean loss=0.5265461185719951, test accuracy=0.7394999999999998

counter#101 epoch: 1, test mean loss=0.5306044379342768, test accuracy=0.7365

counter#102 epoch: 1, test mean loss=0.5234890232008844, test accuracy=0.743

counter#103 epoch: 1, test mean loss=0.5316975362788829, test accuracy=0.7370000000000001

counter#104 epoch: 1, test mean loss=0.522038574574109, test accuracy=0.7355

counter#105 epoch: 1, test mean loss=0.5267358915306033, test accuracy=0.7350000000000001

counter#106 epoch: 1, test mean loss=0.5220982558609201, test accuracy=0.733

counter#107 epoch: 1, test mean loss=0.5227674858169551, test accuracy=0.7354999999999999

counter#108 epoch: 1, test mean loss=0.520783571485496, test accuracy=0.7374999999999999

counter#109 epoch: 1, test mean loss=0.5256566449380802, test accuracy=0.734

counter#110 epoch: 1, test mean loss=0.5169322849818434, test accuracy=0.7294999999999999

counter#111 epoch: 1, test mean loss=0.5222982068975685, test accuracy=0.73

counter#112 epoch: 1, test mean loss=0.5160926920944754, test accuracy=0.7375

counter#113 epoch: 1, test mean loss=0.5132744252303175, test accuracy=0.736

counter#114 epoch: 1, test mean loss=0.5112525144650368, test accuracy=0.7435

counter#115 epoch: 1, test mean loss=0.5106487557519066, test accuracy=0.7434999999999998

counter#116 epoch: 1, test mean loss=0.5177373708765453, test accuracy=0.7444999999999998

counter#117 epoch: 1, test mean loss=0.523812179647692, test accuracy=0.7455

counter#118 epoch: 1, test mean loss=0.5129198649240785, test accuracy=0.7560000000000001

counter#119 epoch: 1, test mean loss=0.5065128242358783, test accuracy=0.7565000000000001

counter#120 epoch: 1, test mean loss=0.5067665941575311, test accuracy=0.7540000000000001

counter#121 epoch: 1, test mean loss=0.5106252501716695, test accuracy=0.7525

counter#122 epoch: 1, test mean loss=0.5055275035088573, test accuracy=0.752

counter#123 epoch: 1, test mean loss=0.5048704739211012, test accuracy=0.75

counter#124 epoch: 1, test mean loss=0.5043652708634958, test accuracy=0.7589999999999999

counter#125 epoch: 1, test mean loss=0.5018187343316505, test accuracy=0.756

counter#126 epoch: 1, test mean loss=0.5053693067919236, test accuracy=0.7585

counter#127 epoch: 1, test mean loss=0.5019924086440113, test accuracy=0.752

counter#128 epoch: 1, test mean loss=0.5020716085794653, test accuracy=0.7494999999999999

counter#129 epoch: 1, test mean loss=0.5029753108155626, test accuracy=0.7454999999999999

counter#130 epoch: 1, test mean loss=0.5079568214632533, test accuracy=0.7575000000000001

counter#131 epoch: 1, test mean loss=0.5014240864187778, test accuracy=0.7490000000000001

counter#132 epoch: 1, test mean loss=0.5024381381829324, test accuracy=0.752

counter#133 epoch: 1, test mean loss=0.501145037003388, test accuracy=0.7529999999999999

counter#134 epoch: 1, test mean loss=0.49626034680646586, test accuracy=0.7605000000000002

